commodity,n_train_before_downsampling,n_train_fit,n_validation,n_test,positive_ratio,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,model,best_validation_f1,best_epoch
DCOILBRENTEU,5463,1900,2159,1975,0.469367,0.736203,0.666667,0.875944,0.75711,0.842669,642.0,406.0,115.0,812.0,CNN,,
DDFUELUSGULF,2722,2275,987,993,0.493454,0.739174,0.655034,0.995918,0.790283,0.937027,246.0,257.0,2.0,488.0,CNN,,
DGASNYH,5657,1267,2183,1901,0.280905,0.875329,0.796407,0.747191,0.771014,0.936209,1265.0,102.0,135.0,399.0,CNN,,
DHHNGSP,4051,2132,1656,1368,0.332602,0.91886,0.925743,0.821978,0.87078,0.965533,883.0,30.0,81.0,374.0,CNN,,
DJFUELUSGULF,5002,1590,2064,1708,0.318501,0.798009,0.622086,0.931985,0.746137,0.91762,856.0,308.0,37.0,507.0,CNN,,
DRGASLA,2752,1322,1672,1056,0.423295,0.831439,0.75717,0.885906,0.816495,0.909574,482.0,127.0,51.0,396.0,CNN,,
DCOILBRENTEU,5463,1900,2159,1975,,0.736203,0.806647,0.576052,0.672121,0.812923,,,,,ResNet-type CNN,0.559492,30.0
DGASNYH,5657,1267,2183,1901,,0.573382,0.324461,0.479401,0.386999,0.594703,,,,,ResNet-type CNN,0.516763,2.0
DHHNGSP,4051,2132,1656,1368,,0.794591,0.711165,0.643956,0.675894,0.882544,,,,,ResNet-type CNN,0.761364,25.0
DDFUELUSGULF,2722,2275,987,993,,0.839879,0.780034,0.940816,0.852914,0.94446,,,,,ResNet-type CNN,0.835249,7.0
DRGASLA,2752,1322,1672,1056,,0.652462,0.551813,0.95302,0.698934,0.920782,,,,,ResNet-type CNN,0.632622,19.0
DJFUELUSGULF,5002,1590,2064,1708,,0.672131,0.492424,0.955882,0.65,0.918082,,,,,ResNet-type CNN,0.358343,26.0
DCOILBRENTEU,5463,1900,2159,1975,,0.485063,0.476013,0.963323,0.637174,0.676827,,,,,Logistic Regression,,
DGASNYH,5657,1267,2183,1901,,0.314045,0.284916,0.955056,0.438898,0.756232,,,,,Logistic Regression,,
DHHNGSP,4051,2132,1656,1368,,0.703947,0.645349,0.243956,0.354067,0.710468,,,,,Logistic Regression,,
DDFUELUSGULF,2722,2275,987,993,,0.588117,0.571429,0.661224,0.613056,0.660235,,,,,Logistic Regression,,
DRGASLA,2752,1322,1672,1056,,0.571023,0.49569,0.771812,0.603675,0.712218,,,,,Logistic Regression,,
DJFUELUSGULF,5002,1590,2064,1708,,0.384075,0.329759,0.904412,0.483301,0.780711,,,,,Logistic Regression,,
DCOILBRENTEU,5463,1900,2159,1975,,0.546835,0.509535,0.92233,0.65643,0.751747,,,,,MLP 1-layer,0.583183,21.0
DGASNYH,5657,1267,2183,1901,,0.310889,0.282022,0.940075,0.433881,0.782539,,,,,MLP 1-layer,0.455531,19.0
DHHNGSP,4051,2132,1656,1368,,0.723684,0.56025,0.786813,0.654479,0.776575,,,,,MLP 1-layer,0.529183,21.0
DDFUELUSGULF,2722,2275,987,993,,0.643505,0.701183,0.483673,0.572464,0.567964,,,,,MLP 1-layer,0.698885,26.0
DRGASLA,2752,1322,1672,1056,,0.394886,0.398305,0.841163,0.540618,0.627159,,,,,MLP 1-layer,0.705966,14.0
DJFUELUSGULF,5002,1590,2064,1708,,0.365925,0.328453,0.948529,0.487943,0.856289,,,,,MLP 1-layer,0.485177,16.0
DCOILBRENTEU,5463,1900,2159,1975,,0.621772,0.595745,0.604099,0.599893,0.669956,,,,,MLP 2-layer,0.650058,19.0
DGASNYH,5657,1267,2183,1901,,0.449763,0.336735,0.988764,0.502379,0.870629,,,,,MLP 2-layer,0.484361,30.0
DHHNGSP,4051,2132,1656,1368,,0.751462,0.60177,0.747253,0.666667,0.820411,,,,,MLP 2-layer,0.568421,6.0
DDFUELUSGULF,2722,2275,987,993,,0.715005,0.720682,0.689796,0.704901,0.818623,,,,,MLP 2-layer,0.721805,23.0
DRGASLA,2752,1322,1672,1056,,0.397727,0.392246,0.769575,0.519637,0.627809,,,,,MLP 2-layer,0.678014,1.0
DJFUELUSGULF,5002,1590,2064,1708,,0.370609,0.329917,0.946691,0.489311,0.867398,,,,,MLP 2-layer,0.489552,17.0
