statistic,T,depth,max_abs_error,mean_abs_error,theoretical_error_bound,bound_satisfied_on_sample,classification_agreement,outside_margin_n,outside_margin_disagreement
Realized volatility,20,1,4.020860195159912,2.7008960247039795,4.75,True,0.590999960899353,62,0.0
Realized volatility,20,2,1.0108407735824585,0.7660239338874817,1.1875,True,0.8550000190734863,591,0.0
Realized volatility,20,3,0.2529442310333252,0.19684866070747375,0.296875,True,0.968999981880188,901,0.0
Realized volatility,20,4,0.06585907936096191,0.049403417855501175,0.07421875,True,0.9950000047683716,978,0.0
Realized volatility,20,5,0.015407323837280273,0.012271102517843246,0.0185546875,True,0.9990000128746033,997,0.0
Realized volatility,20,6,0.004002749919891357,0.003086686599999666,0.004638671875,True,1.0,1000,0.0
AR statistic,20,1,1.2248141765594482,0.664569079875946,3.5625,True,0.7870000004768372,13,0.0
AR statistic,20,2,0.30509376525878906,0.19068482518196106,0.890625,True,0.9380000233650208,447,0.0
AR statistic,20,3,0.08479103446006775,0.050126414746046066,0.22265625,True,0.9900000095367432,865,0.0
AR statistic,20,4,0.019353389739990234,0.012399835512042046,0.0556640625,True,0.9959999918937683,971,0.0
AR statistic,20,5,0.005023866891860962,0.0031525033991783857,0.013916015625,True,0.9980000257492065,989,0.0
AR statistic,20,6,0.0012011528015136719,0.0007693151128478348,0.00347900390625,True,1.0,996,0.0
Realized volatility,40,1,7.631742477416992,5.230372428894043,9.75,True,0.5740000009536743,13,0.0
Realized volatility,40,2,1.9554057121276855,1.5399810075759888,2.4375,True,0.8109999895095825,459,0.0
Realized volatility,40,3,0.4917278289794922,0.4038378894329071,0.609375,True,0.949999988079071,859,0.0
Realized volatility,40,4,0.12316036224365234,0.10145951807498932,0.15234375,True,0.9829999804496765,955,0.0
Realized volatility,40,5,0.030344009399414062,0.025262435898184776,0.0380859375,True,0.9929999709129333,990,0.0
Realized volatility,40,6,0.007748901844024658,0.006339255720376968,0.009521484375,True,0.9990000128746033,997,0.0
AR statistic,40,1,2.2227187156677246,1.2977463006973267,7.3125,True,0.7490000128746033,0,
AR statistic,40,2,0.5710424184799194,0.38266557455062866,1.828125,True,0.9110000133514404,229,0.0
AR statistic,40,3,0.14561370015144348,0.10193367302417755,0.45703125,True,0.9829999804496765,796,0.0
AR statistic,40,4,0.037143707275390625,0.02525438740849495,0.1142578125,True,0.9990000128746033,951,0.0
AR statistic,40,5,0.009387180209159851,0.006426292471587658,0.028564453125,True,0.9990000128746033,983,0.0
AR statistic,40,6,0.0023192167282104492,0.0015804145950824022,0.00714111328125,True,0.9990000128746033,992,0.0
Realized volatility,80,1,14.092792510986328,10.165703773498535,19.75,True,0.5509999990463257,1,0.0
Realized volatility,80,2,3.7816314697265625,3.0897374153137207,4.9375,True,0.7760000228881836,312,0.0
Realized volatility,80,3,0.942936897277832,0.8190501928329468,1.234375,True,0.9459999799728394,856,0.0
Realized volatility,80,4,0.23504900932312012,0.20596903562545776,0.30859375,True,0.9860000014305115,964,0.0
Realized volatility,80,5,0.05891704559326172,0.05146697908639908,0.0771484375,True,0.996999979019165,988,0.0
Realized volatility,80,6,0.014798641204833984,0.012833420187234879,0.019287109375,True,0.9990000128746033,995,0.0
AR statistic,80,1,3.862227439880371,2.5531325340270996,14.8125,True,0.7070000171661377,0,
AR statistic,80,2,1.052955150604248,0.7769331336021423,3.703125,True,0.8880000114440918,138,0.0
AR statistic,80,3,0.2662196159362793,0.20609161257743835,0.92578125,True,0.9729999899864197,777,0.0
AR statistic,80,4,0.06691956520080566,0.05135847628116608,0.2314453125,True,0.9950000047683716,944,0.0
AR statistic,80,5,0.016388416290283203,0.0129326693713665,0.057861328125,True,0.9980000257492065,988,0.0
AR statistic,80,6,0.004132509231567383,0.003208886133506894,0.01446533203125,True,0.9990000128746033,994,0.0
