statistic,T,max_abs_error,mean_abs_error,classification_agreement
Range,20,2.384185791015625e-07,4.929304253664668e-08,1.0
Maximum drawup,20,2.384185791015625e-07,4.684180154868045e-08,1.0
Maximum drawdown,20,2.384185791015625e-07,3.9152801889486e-08,1.0
Slope-change,20,1.1920928955078125e-07,1.5348195603337444e-08,1.0
Range,40,2.384185791015625e-07,4.416704157961249e-08,1.0
Maximum drawup,40,3.5762786865234375e-07,3.0040741449965935e-08,1.0
Maximum drawdown,40,2.384185791015625e-07,3.486871591462659e-08,1.0
Slope-change,40,1.1920928955078125e-07,1.4744698795254862e-08,1.0
Range,80,2.384185791015625e-07,4.416704157961249e-08,1.0
Maximum drawup,80,2.384185791015625e-07,1.8984080085715505e-08,1.0
Maximum drawdown,80,3.5762786865234375e-07,2.2798776200261273e-08,1.0
Slope-change,80,1.1920928955078125e-07,1.2967735329993957e-08,1.0
