ar_phi_alt,scenario,n_train,oracle_comparator_test_error_mean,selector_test_error_mean,common_head_test_error_mean,common_head_oracle_excess_mean,common_head_abs_generalization_gap_mean,common_head_test_auc_mean
1.08,ar,200,0.1170824999999999,0.1170824999999999,0.11921,0.0021274999999999,0.018825,0.927323255
1.08,ar,500,0.1170824999999999,0.1170824999999999,0.1175349999999999,0.0004524999999999,0.012775,0.9294431725
1.08,ar,1000,0.1170824999999999,0.1170824999999999,0.1170074999999999,-7.499999999999993e-05,0.0092175,0.9302354375
1.08,mixed,200,0.0870325,0.0870325,0.0799974999999999,-0.007035,0.0175624999999999,0.95361576
1.08,mixed,500,0.0870325,0.0870325,0.0772849999999999,-0.0097475,0.00994,0.954445895
1.08,mixed,1000,0.0870325,0.0870325,0.07694,-0.0100924999999999,0.0068949999999999,0.9546792375000002
1.1,ar,200,0.0698274999999999,0.0709025,0.071205,0.0013775,0.01686,0.960384965
1.1,ar,500,0.0698274999999999,0.0698274999999999,0.069325,-0.0005024999999999,0.009045,0.9621790399999997
1.1,ar,1000,0.0698274999999999,0.0698274999999999,0.06858,-0.0012474999999999,0.00695,0.9626041950000002
1.1,mixed,200,0.0603725,0.0603725,0.055365,-0.0050075,0.01455,0.973624285
1.1,mixed,500,0.0603725,0.0603725,0.0528775,-0.007495,0.0083525,0.9740798175
1.1,mixed,1000,0.0603725,0.0603725,0.0522575,-0.008115,0.0056625,0.9742838275
1.12,ar,200,0.041045,0.0430425,0.04115,0.000105,0.012985,0.978403895
1.12,ar,500,0.041045,0.041295,0.0390975,-0.0019475,0.0072975,0.9795375825
1.12,ar,1000,0.041045,0.041045,0.0387375,-0.0023075,0.0050625,0.9799904899999998
1.12,mixed,200,0.046445,0.046445,0.0419424999999999,-0.0045025,0.0127675,0.98412829
1.12,mixed,500,0.046445,0.046445,0.0392249999999999,-0.00722,0.006665,0.98479599
1.12,mixed,1000,0.046445,0.046445,0.03874,-0.007705,0.0049149999999999,0.9849265325
