scenario,repeat,n_train,slope_comparator_train_error,volatility_comparator_train_error,ar_comparator_train_error,slope_comparator_test_error,volatility_comparator_test_error,ar_comparator_test_error,oracle_comparator,oracle_comparator_test_error,selector_comparator,selector_train_error,selector_test_error,selector_oracle_excess,common_head_train_error,common_head_test_error,common_head_generalization_gap,common_head_abs_generalization_gap,common_head_oracle_excess,common_head_train_auc,common_head_test_auc,ar_phi_alt,mixed_ar_phi,mixed_family_probability
slope,0,200,0.025,0.025,0.38,0.02575,0.031,0.38225,slope,0.02575,slope,0.025,0.02575,0.0,0.01,0.01125,0.0012499999999999,0.0012499999999999,-0.0144999999999999,0.9985,0.995716,1.1,1.1,0.3333333333333333
slope,0,500,0.02,0.032,0.362,0.02575,0.031,0.38225,slope,0.02575,slope,0.02,0.02575,0.0,0.01,0.01025,0.00025,0.00025,-0.0154999999999999,0.998112,0.9970355,1.1,1.1,0.3333333333333333
slope,0,1000,0.024,0.031,0.37,0.02575,0.031,0.38225,slope,0.02575,slope,0.024,0.02575,0.0,0.007,0.0105,0.0035,0.0035,-0.0152499999999999,0.99858,0.9973445,1.1,1.1,0.3333333333333333
slope,1,200,0.035,0.04,0.36,0.027,0.03325,0.3795,slope,0.027,slope,0.035,0.027,0.0,0.015,0.016,0.001,0.001,-0.011,0.9976,0.9969235,1.1,1.1,0.3333333333333333
slope,1,500,0.028,0.026,0.364,0.027,0.03325,0.3795,slope,0.027,volatility,0.026,0.03325,0.00625,0.006,0.016,0.01,0.01,-0.011,0.998928,0.996969,1.1,1.1,0.3333333333333333
slope,1,1000,0.031,0.03,0.373,0.027,0.03325,0.3795,slope,0.027,volatility,0.03,0.03325,0.00625,0.01,0.01525,0.0052499999999999,0.0052499999999999,-0.01175,0.997956,0.9969405,1.1,1.1,0.3333333333333333
slope,2,200,0.04,0.02,0.38,0.0275,0.03375,0.3835,slope,0.0275,volatility,0.02,0.03375,0.00625,0.015,0.0195,0.0045,0.0045,-0.008,0.9982,0.997823,1.1,1.1,0.3333333333333333
slope,2,500,0.04,0.042,0.37,0.0275,0.03375,0.3835,slope,0.0275,slope,0.04,0.0275,0.0,0.028,0.01425,-0.01375,0.01375,-0.01325,0.997408,0.99812475,1.1,1.1,0.3333333333333333
slope,2,1000,0.029,0.032,0.37,0.0275,0.03375,0.3835,slope,0.0275,slope,0.029,0.0275,0.0,0.02,0.01275,-0.00725,0.00725,-0.01475,0.998348,0.99795175,1.1,1.1,0.3333333333333333
slope,3,200,0.015,0.035,0.36,0.0235,0.03275,0.37875,slope,0.0235,slope,0.015,0.0235,0.0,0.005,0.015,0.0099999999999999,0.0099999999999999,-0.0085,0.9953,0.99468525,1.1,1.1,0.3333333333333333
slope,3,500,0.026,0.036,0.352,0.0235,0.03275,0.37875,slope,0.0235,slope,0.026,0.0235,0.0,0.016,0.01375,-0.00225,0.00225,-0.00975,0.998224,0.9979575,1.1,1.1,0.3333333333333333
slope,3,1000,0.021,0.026,0.367,0.0235,0.03275,0.37875,slope,0.0235,slope,0.021,0.0235,0.0,0.01,0.01325,0.0032499999999999,0.0032499999999999,-0.01025,0.99856,0.9979185,1.1,1.1,0.3333333333333333
slope,4,200,0.02,0.02,0.39,0.02475,0.0335,0.3695,slope,0.02475,slope,0.02,0.02475,0.0,0.01,0.01575,0.00575,0.00575,-0.009,0.9998,0.99805275,1.1,1.1,0.3333333333333333
slope,4,500,0.018,0.02,0.414,0.02475,0.0335,0.3695,slope,0.02475,slope,0.018,0.02475,0.0,0.006,0.015,0.009,0.009,-0.00975,0.999936,0.99823725,1.1,1.1,0.3333333333333333
slope,4,1000,0.021,0.021,0.409,0.02475,0.0335,0.3695,slope,0.02475,slope,0.021,0.02475,0.0,0.009,0.01225,0.00325,0.00325,-0.0125,0.999612,0.9980425,1.1,1.1,0.3333333333333333
