scenario,n_train,slope_comparator_test_error_mean,slope_comparator_test_error_std,volatility_comparator_test_error_mean,volatility_comparator_test_error_std,ar_comparator_test_error_mean,ar_comparator_test_error_std,oracle_comparator_test_error_mean,oracle_comparator_test_error_std,selector_train_error_mean,selector_train_error_std,selector_test_error_mean,selector_test_error_std,selector_oracle_excess_mean,selector_oracle_excess_std,common_head_train_error_mean,common_head_train_error_std,common_head_test_error_mean,common_head_test_error_std,common_head_generalization_gap_mean,common_head_generalization_gap_std,common_head_abs_generalization_gap_mean,common_head_abs_generalization_gap_std,common_head_oracle_excess_mean,common_head_oracle_excess_std,common_head_test_auc_mean,common_head_test_auc_std
slope,200,0.0241875,0.002328209584581998,0.030563000000000003,0.002770854790952621,0.38018550000000007,0.005499336337259304,0.024149999999999998,0.0022904130596833284,0.020480000000000005,0.008678723436137466,0.025971,0.0037968725924062722,0.0018209999999999917,0.00336929715618158,0.0075899999999999995,0.008584245951573982,0.015517,0.004473111719699591,0.007926999999999993,0.009705001035042715,0.010641999999999983,0.0066084172353683595,-0.00863299999999997,0.004788807404010461,0.99651825725,0.0026036219437892733
slope,500,0.0241875,0.002328209584581998,0.030563000000000003,0.002770854790952621,0.38018550000000007,0.005499336337259304,0.024149999999999998,0.0022904130596833284,0.022468000000000002,0.00584613809803725,0.025471499999999998,0.003577346441865848,0.0013214999999999933,0.002908337946184793,0.010196000000000002,0.0052650760727746574,0.012897000000000002,0.0025425518952974296,0.0027009999999999855,0.005646469182458783,0.004949999999999967,0.003826360158705441,-0.011252999999999973,0.00313318922976239,0.997615686,0.001149828063311798
slope,1000,0.0241875,0.002328209584581998,0.030563000000000003,0.002770854790952621,0.38018550000000007,0.005499336337259304,0.024149999999999998,0.0022904130596833284,0.023488000000000002,0.004222501039675434,0.025126,0.0032686376342396703,0.0009759999999999951,0.002498581561534314,0.010698000000000003,0.003455238536873159,0.0120745,0.001968648242272755,0.0013765000000000016,0.0036566877746071957,0.0031354999999999656,0.0023278428759067544,-0.012075499999999977,0.0026020599882333184,0.9978903009999999,0.0007289659803103984
volatility,200,0.4140225,0.005220140657776758,0.018488499999999998,0.0021509872715766982,0.44387699999999997,0.0046531898038551355,0.018488499999999998,0.0021509872715766982,0.019340000000000003,0.009937903392954459,0.018488499999999998,0.0021509872715766982,0.0,0.0,0.005449999999999999,0.0069023753571609125,0.0131065,0.003939075447457376,0.007656499999999998,0.008304912757025421,0.00969249999999998,0.0057946721391637845,-0.005381999999999973,0.004096509340591696,0.9989821844999999,0.001133151342668104
volatility,500,0.4140225,0.005220140657776758,0.018488499999999998,0.0021509872715766982,0.44387699999999997,0.0046531898038551355,0.018488499999999998,0.0021509872715766982,0.018892,0.005970899369320937,0.018488499999999998,0.0021509872715766982,0.0,0.0,0.007648000000000001,0.004468111910874239,0.010606,0.0021174231891437894,0.002957999999999985,0.005177218672837048,0.004747999999999969,0.00360308346015489,-0.007882499999999968,0.0025910897789318296,0.99936651425,0.0005112485214448518
volatility,1000,0.4140225,0.005220140657776758,0.018488499999999998,0.0021509872715766982,0.44387699999999997,0.0046531898038551355,0.018488499999999998,0.0021509872715766982,0.018634,0.0040793782189577155,0.018488499999999998,0.0021509872715766982,0.0,0.0,0.00848,0.002943284874371389,0.0098605,0.0016755685034098835,0.001380499999999996,0.0033813402185149154,0.0029224999999999603,0.002187450257092611,-0.00862799999999997,0.0021265371665318473,0.9995099554999999,0.00018653298284654384
ar,200,0.1191,0.004682371108572745,0.102797,0.004747643756905621,0.069553,0.003973350731066175,0.069553,0.003973350731066175,0.06875999999999999,0.017214967621823778,0.07072,0.0076857003571541805,0.001166999999999999,0.006536019438480935,0.06448000000000001,0.017396403931257718,0.070767,0.004988258859853385,0.0062869999999999844,0.01826107375345868,0.015666999999999962,0.011274999433456695,0.0012139999999999913,0.00376281431153412,0.960818234,0.004332987295047388
ar,500,0.1191,0.004682371108572745,0.102797,0.004747643756905621,0.069553,0.003973350731066175,0.069553,0.003973350731066175,0.06893200000000001,0.010837632793610328,0.06961950000000001,0.004233786088039704,6.64999999999998e-05,0.001486985205037356,0.066264,0.010973930850731341,0.068838,0.00407624060562547,0.002573999999999992,0.011716818752689043,0.009515999999999959,0.007292932725280734,-0.0007149999999999924,0.002084157485616099,0.9622817574999999,0.003704322921930353
ar,1000,0.1191,0.004682371108572745,0.102797,0.004747643756905621,0.069553,0.003973350731066175,0.069553,0.003973350731066175,0.06933,0.007767223411170689,0.069553,0.003973350731066175,0.0,0.0,0.067196,0.0076646642559418466,0.068224,0.0040276255455379845,0.001027999999999997,0.008530665889661922,0.006900999999999958,0.00510998266588951,-0.0013289999999999869,0.001664496951093739,0.962813647,0.0033192899844534216
mixed,200,0.1504435,0.005352591261849993,0.060437,0.0038596080303959094,0.284003,0.006468552801879365,0.060437,0.0038596080303959094,0.059410000000000004,0.017389845123716715,0.060437,0.0038596080303959094,0.0,0.0,0.047510000000000004,0.01611425575311977,0.055180999999999994,0.005119732641911027,0.007670999999999981,0.017027702260979785,0.015091999999999965,0.010985440172864413,-0.005255999999999968,0.004568748288299935,0.9734878395000001,0.003174851312357153
mixed,500,0.1504435,0.005352591261849993,0.060437,0.0038596080303959094,0.284003,0.006468552801879365,0.060437,0.0038596080303959094,0.059608,0.010819262862958605,0.060437,0.0038596080303959094,0.0,0.0,0.049620000000000004,0.010023199541968432,0.05276050000000001,0.003827605763628687,0.003140499999999989,0.010749045012808075,0.008921499999999966,0.006758091917303684,-0.007676499999999964,0.0029717225678114884,0.974064622,0.0029264349454748147
mixed,1000,0.1504435,0.005352591261849993,0.060437,0.0038596080303959094,0.284003,0.006468552801879365,0.060437,0.0038596080303959094,0.059716000000000005,0.007266425936578703,0.060437,0.0038596080303959094,0.0,0.0,0.050190000000000005,0.006467887377982745,0.05207950000000001,0.0035743680509885706,0.001889499999999996,0.007395204042869329,0.005991499999999965,0.00472190592251499,-0.00835749999999996,0.0027163073097132527,0.9741938710000001,0.002889858922212221
